,Unnamed: 0,tweet_id,text,tweet_city,tweet_latitude,tweet_longitude,city,code,country
44,44,521608284600410112,Its okey! I know you dont care!!!,jakarta-04-id,-6.1364540000000005,106.800182,jakarta,04,id
45,45,358160997128732672,“@averyylarkin: #YoureMoreAttractiveIf you look like this http://t.co/jEPpOxOTb0” praise Jesus  @Chi_City22 @sara_moini,clarksville-tn125-us,36.6302881,-87.28448885,clarksville,tn125,us
46,46,428408584783675392,At Sudirman Park Apartment [pic] — https://t.co/F7koYWlj9x,jakarta-04-id,-6.20528,106.8178,jakarta,04,id
47,47,531444158133964800,Getting a head start. Working Sunday with Wil (@ Campus North in Newcastle Upon Tyne) https://t.co/jcaQJq1GWa http://t.co/Y29bilx8NK,newcastle upon tyne-engi7-gb,54.972895,-1.608769,newcastle upon tyne,engi7,gb
48,48,437198055092547584,I'm a weirdo 👌 http://t.co/UEepalEP6I,huddersfield-engg8-gb,53.63509029,-1.74771474,huddersfield,engg8,gb
49,49,431500147399606272,This rain Dammmnnnn why today why??? *wailing* missing #isibaya :-),johannesburg-06jhb-za,-26.21852,27.8769,johannesburg,06jhb,za
50,50,415249148762259456,I still cant get that imagine out of my head.,league city-tx167-us,29.5474968,-95.1347956,league city,tx167,us
51,51,487350992070270976,The only thing good about that movie was the Inbetweeners trailer at the start. Worst film I've EVER seen.,saint austell-engc6-gb,50.76093217,-4.54332274,saint austell,engc6,gb
52,52,411780992341262336,Tst!,palembang-32-id,-2.9649631000000003,104.8146136,palembang,32,id
53,53,389570113986654208,Que tweet cabuloso HAHAHHAHA,joinville-26-br,-26.32093314,-48.86628561,joinville,26,br
54,54,360947126651453440,Late night din (@ Hana Sushi - @mixmenu w/ 2 others) http://t.co/WO0gqEc7kZ,boston-ma025-us,42.39668645,-71.129667,boston,ma025,us
55,55,574574584617377792,Leaving my art stuff at school for the weekend really was not a good idea,cambridge-engc3-gb,52.344564,0.32748,cambridge,engc3,gb
56,56,504804543826497536,I just began a doing circuit training workout using #Endomondo. Peptalk me now @ http://t.co/MdIHWSK4cx,bogota-34-co,4.656011,-74.106554,bogota,34,co
57,57,499516084119019520,http://t.co/VHY1lfyxya,riyadh-10-sa,24.628409,46.710412,riyadh,10,sa
58,58,555561246624206848,I kinda miss coming home to dinner being done so I didn't have to make food after the gym 😒,roseville-ca061-us,38.899278,-121.277276,roseville,ca061,us
59,59,525354616008216576,Tom: Bex do you know what I really want to do? Me: no babe. Tom: Christmasify the house. Me: Its October.  😂😂🙈 #sigh,nottingham-engj8-gb,52.980498,-1.147352,nottingham,engj8,gb
60,60,346084270529458176,Relationships = misery.,parsippany-nj027-us,41.47411718,-74.53921337,parsippany,nj027,us
61,61,502967614608801792,@sabinin8 2040?,gijon-34o-es,43.559388,-5.929842,gijon,34o,es
62,62,340708271860092928,"yaudah sih, woles bisa kalee @eiffeliaprd: If you not know me don't judge me☺ @aprilianaminaah""",bekasi-30-id,-6.2397288,106.9821702,bekasi,30,id
63,63,670214585203482624,I'm at MkMedi Photodesign in Kernen im Remstal https://t.co/SAva8YA6Ht,stuttgart-01081-de,48.788459,9.34317,stuttgart,01081,de
64,64,401590339078983680,With or without bangs??? @questionmarkx #instapic #instahub #instacool #instalove #instafashion… http://t.co/9uHTvt2p2u,makati city-ncrk4-ph,14.53,120.99783333,makati city,ncrk4,ph
65,65,365876306358964224,@Sarooy_23 just a secon—HEY DON'T BRING P!NK INTO THIS 😠#5a6_a7mar,manama-16-bh,26.25799535,50.63809374,manama,16,bh
66,66,387460165106405376,get down to a flow n site get paid by the end of the night,johannesburg-06jhb-za,-26.209605,28.1665518,johannesburg,06jhb,za
67,67,354899560822366208,Errr~ (@ Alya's room) http://t.co/A5r861yj1O,surakarta-07-id,-7.58685874,110.75396649,surakarta,07,id
68,68,288143182007508992,@lizset follow back,santo domingo-34-do,18.48558,-69.91701,santo domingo,34,do
69,69,575114202655784960,I think I'm going to u this weekend 🏀,buffalo-ny029-us,42.951047,-78.85946,buffalo,ny029,us
70,70,501750616688164864,this is going to be the best bus ride ever!  😍 @b_tycee @LibbaMuzi11 @taylorsterwerf_ @taylor_pauley2 @brimariemcc @kaitlyn_neher,lawrenceville-ga135-us,34.078808,-83.877701,lawrenceville,ga135,us
71,71,426359101149294592,"mention""@widi_tiana: mention""",kediri-08-id,-7.8281006999999985,112.0247614,kediri,08,id
72,72,518363151721447424,"Now at Global Tv!!! 
Next ; Hunger Games :) 
#Aaasiiiikkkk… ★ The Incredible Hulk (at Pancuran Karangpura 8) — https://t.co/astdvkwkBc",cirebon-30-id,-6.7016,108.55322,cirebon,30,id
73,73,505848829204496384,It keeps me on the line.,culiacan-25-mx,24.828099,-107.36854,culiacan,25,mx
74,74,539484680689831936,There ain't no rest for the wicked. Money don't grow on trees,cleveland-oh035-us,41.413642,-81.826029,cleveland,oh035,us
75,75,577240584995409920,@akidd2323 respect 💯,detroit-mi163-us,42.338754,-83.323127,detroit,mi163,us
76,76,544363788934590464,"Watchu mean u dont care nomore? ? ""@HateJaay: I'm at the point where I don't even care nomore 💯""",peoria-il143-us,40.713928,-89.586054,peoria,il143,us
77,77,577936470100553728,@ConnorFranta yes and i loved it! 😊,leuven-vlgvbr-be,50.836369,4.5592690000000005,leuven,vlgvbr,be
78,78,425716823233789952,Ok tonight is a big game @8pm at Trinity in cedar hill come support my son @GaryJonesJr and his whole NWU bball team against SAGU! Wheww,dallas-tx113-us,32.8049434,-96.83659948,dallas,tx113,us
79,79,430928044438855680,the winter is for sleeping and eating #hibernate #toocold,austin-tx453-us,30.18284386,-97.82443184,austin,tx453,us
80,80,395911549425971200,Watching Wedding Dress — https://t.co/AdGoduHGbP,bekasi-30-id,-6.38662,107.11641000000002,bekasi,30,id
81,81,340235737444257792,Enjoying some vino after helping the teachers setup for summer school. (@ Postino Winecafé) http://t.co/9GEfIA42hj,san tan valley-az021-us,33.35508307,-111.78991688,san tan valley,az021,us
82,82,569712694384730112,I'M DYING RIGHT NOW #LadyGaga #SoundOfMusic #fruitfly #Oscars,los angeles-ca037-us,33.936359,-118.110863,los angeles,ca037,us
83,83,297615262591627264,@campbell1013 is everyone still alive? Xx,manchester-engi2-gb,53.4842337,-2.2325591,manchester,engi2,gb
84,84,376247582550286336,Baahhh RT@detikcom,jakarta-04-id,-6.2942300000000015,106.76646273,jakarta,04,id
85,85,430855021417467904,Modded/fixed 303 complete with toggle shift switch thanks to @carllarson! Next track is going out to you! http://t.co/bq3QObjeCk,city of london-enggla-gb,51.5344803,-0.09074246,city of london,enggla,gb
86,86,346135143330742272,I'm at ShamrocK w/ @fermbower http://t.co/4VOx6wwXfU,asuncion-22-py,-25.28678379,-57.62621161,asuncion,22,py
87,87,316955491873980416,@itstallsyoo yhh it is loool,leeds-engh3-gb,53.79899785,-1.53741389,leeds,engh3,gb
88,88,405797108525326336,“@BoomboxCreate: I Built My OWN Working Digital Camera and So Can You #camera  http://t.co/ViKI0J0c58” @camilla_barnard,city of london-enggla-gb,51.51592677,-0.06386055,city of london,enggla,gb
89,89,568962354286882816,#tragicallyhipmtl #centrebell #mtl #mtlmomments @ Centre Bell http://t.co/AQyFP83yHJ,saint laurent-10-ca,45.46159,-73.63149,saint laurent,10,ca
90,90,401810686906728448,@HuskerExtraSip got chills!!!! 😁,waukesha-wi133-us,43.20618521,-88.08858468,waukesha,wi133,us
91,91,365481106461564928,Last day of class!!!!,gainesville-fl001-us,29.64992434,-82.34148642,gainesville,fl001,us
92,92,291755824186023936,"MERDA, MANDEI MSG P PESSOA ERRADA --'",recife-30-br,-8.15217069,-34.91464397,recife,30,br
93,93,303599242474319872,@LavishFoxNL fuck yea!!!! ion no he hitting me up later about it,erie-pa049-us,42.1386377,-80.0945735,erie,pa049,us
94,94,345471352964251648,"Last Friday was presenting to 200 people, this Friday taking I&amp;M to singing #contrast (@ Peterhouse Centre) http://t.co/rPJCU8yDKJ",city of london-enggla-gb,51.58819425,0.00423535,city of london,enggla,gb
95,95,545430584823005184,"Asam pedes Patin ""Pekanbaru""",pekanbaru-37-id,0.569809,101.421571,pekanbaru,37,id
96,96,401720153022279680,Antri tiket midnight.... (at Empire XXI Yogyakarta) — https://t.co/by9J93gRBC,yogyakarta-10-id,-7.784510000000001,110.38672,yogyakarta,10,id
97,97,337595657990860800,Konyol bgt nih film.. Hahaha ★ The House Bunny (at Greenlot Sambandha Residence) — http://t.co/EX42QOds4t,denpasar-02-id,-8.6130207,115.1197494,denpasar,02,id
98,98,324183502474067968,@kris10w1 @soulcycle can't wait ti see you!!,los angeles-ca037-us,34.09302176,-118.37007298,los angeles,ca037,us
99,99,493995566452703232,I'm in a bad mood for a stupid reason don't look at me just let me sit here and stew in it,san tan valley-az021-us,33.360143,-111.614755,san tan valley,az021,us
100,100,487565627251785728,#sayingthefact I am too young to be called wise and I am too old to be called young,lagos-05-ng,6.59253,3.34106,lagos,05,ng
101,101,431035657587159040,:') http://t.co/iSVSXAPN9t,melati-00-id,-7.7615012,110.4321217,melati,00,id
102,102,510982837244162048,@Jordynnn___ yeah,plano-tx085-us,33.124737,-96.669998,plano,tx085,us
103,103,547036907038072832,There's a couple in the pub who literally might as well just be having sex and they're not even attempting to be subtle about it,brighton-enge2-gb,50.81995300000001,-0.139183,brighton,enge2,gb
104,104,578519595776024576,I love this one person that makes me smile and laugh and makes me feel good inside and love who I am this go's to @JamieOhSoSweet_,round rock-tx491-us,30.421629,-97.685473,round rock,tx491,us
105,105,319039226521993216,I'm at IDO Eminonu - @idokurumsal [pic]: http://t.co/zRRcFOENCv,istanbul-34-tr,41.01747953,28.97482441,istanbul,34,tr
106,106,395144411362758656,GAAAAAYYYYYYY! @MickSunnyG #jed,sydney-02-au,-33.71970217,150.97706024,sydney,02,au
107,107,364934940858662912,Interaktif Matematika,denpasar-02-id,-8.65659,115.22665,denpasar,02,id
108,108,554388661744439296,Ca va se finir sur call of toussa,marseille-b813-fr,43.856438,5.602508,marseille,b813,fr
109,109,368422823364399104,"I'm at The Baron (Sandton, Gauteng) w/ 2 others http://t.co/z0bWHL0N1Y",johannesburg-06jhb-za,-26.05736,28.089678000000006,johannesburg,06jhb,za
110,110,484232665265373184,@Kgothi_Cent ja lol and nna ke slender I don't like them!!! Net that oil LOL,johannesburg-06jhb-za,-26.16840289,28.0425337,johannesburg,06jhb,za
111,111,354082925710540800,@sabrina_mia96 I miss you guys too.. I wish I could visit,gainesville-fl001-us,29.64635942,-82.33962747,gainesville,fl001,us
112,112,496717120559124480,@javionalyssa miss you :-),west gulfport-ms047-us,30.3879,-89.13659399999997,west gulfport,ms047,us
113,113,298175672046735360,@AWindrum @carolinesmith00 poppy is mega money. Manor school ramps it ip,york-engq5-gb,53.98732255,-1.11190313,york,engq5,gb
114,114,407752287583350784,"เอ่อ...มันคืออัลไลลลลลลล ""@/minhoshineeina: SHINee 321 poster promotion - Shinjuku Tower Records, cr:duddnjsglwlsrl http://t.co/z4gX6oNlAO""",samut prakan-42-th,13.7086294,100.75223,samut prakan,42,th
115,115,390023434413277184,I'm at Cineleisure Orchard (Singapore) w/ 13 others http://t.co/zEA8zVb2zn,singapore-00-sg,1.30125302,103.83702278,singapore,00,sg
116,116,373092232926330880,I actually had fun this summer tho!,youngstown-oh099-us,41.0583557,-80.6570273,youngstown,oh099,us
117,117,546532323513352192,"I'm at Fer's House in Aserrí, San Jose https://t.co/GkF74YJDmu",san jose-08-cr,9.811794,-84.117125,san jose,08,cr
118,118,483240121219567616,Suicide Silence - You Only Live Once \M/,malang-08-id,-7.973629499999999,112.6576318,malang,08,id
119,119,353094047486853120,Su anda uzerimde mir mir kedim :-) soook tali :-),istanbul-34-tr,40.989754,28.7165717,istanbul,34,tr
120,120,415811239978487808,A7s 2014 ra7 tkon nfs 2013 madre laish :|,as salimiyah-00-kw,29.3204919,48.07971,as salimiyah,00,kw
121,121,365292509615755264,"mohon maaf lahir dan bathin 🙏👳 (with Vika Septy, Isfahany, and 3 others) [pic] — https://t.co/PLk2RoWuXQ",bandung-30-id,-6.85905,107.54466,bandung,30,id
122,122,288133702767226880,Those thoughts I can't denyyyy,lowell-ma017-us,42.65789811,-71.28534433,lowell,ma017,us
123,123,288212853486411776,Mhhhmm lolRT @dolledup4nuffn: My back arch in ass stick out 💁,bowie-md033-us,38.95867310000001,-76.997545,bowie,md033,us
124,124,353302336577343488,I wish we could scrim @TobyDunlap  @IMVGE,kissimmee-fl097-us,28.26480593,-81.66123659,kissimmee,fl097,us
125,125,503804080612188160,"@Beaks66 @johnpurcell21  on the 66a 7.33 respectively! Glendale blow ins walking to rf to rob a seat.
Never getting to work on time!",dublin-l33-ie,53.34500600000001,-6.275081,dublin,l33,ie
126,126,429638203868712960,Would anyone judge me if I sent myself chocolate covered strawberries for valentines day? #singlelife,brockton-ma023-us,42.1339238,-71.26120990000003,brockton,ma023,us
127,127,327987002362433536,@bauen96 @96Parry tell her I said woman have no rights,erie-pa049-us,42.0724345,-80.1714848,erie,pa049,us
128,128,410612689900027904,"Hahahah ""@narimholic: Bkn volcom stone peng??""@ridwanpratama55: Beach Volcom store http://t.co/wSB7cqypCb""""",cikupa-30-id,-6.01362236,106.084035,cikupa,30,id
129,129,489017162586390528,@LeonaraGomes_ barriga*,vila velha-08-br,-20.3167407,-40.3159899,vila velha,08,br
130,130,434823495781208064,@Albamh1 TUUUUUUUUU :D,salamanca-55sa-es,40.9668257,-5.6607308,salamanca,55sa,es
131,131,550002158134124544,"@Clonrf Couldn't agree more. Just back from a 3 hour round trip, came upon a few choice specimens on the road!",dun laoghaire-l34-ie,53.245724,-6.120064,dun laoghaire,l34,ie
132,132,370058429928206336,"Jamming to ""I need a Doctor""",plano-tx085-us,32.94897498,-96.88575703,plano,tx085,us
133,133,322821977121357824,Having my first Greek beer Mythos at @EstiaHalifax for our anniversary dinner,halifax-07-ca,44.64286332,-63.5777277,halifax,07,ca
134,134,489645422957191168,"""Can we twerk?/I'll fuck you in dance form""?????? EH😳 😳 😳 ˙﹏˙ WHO TF says that?????? #VirginTerritory",mon repos-10-tt,10.646483,-61.382912,mon repos,10,tt
135,135,419022776884674560,@bigxxbug24 @comeonellie PLEASE NOOOO,riverside-ca065-us,33.934541700000004,-117.3474669,riverside,ca065,us
136,136,422912221950128128,@kvterobertson mckeathan could kick your ass,grand rapids-mi081-us,42.95886561,-85.61757983,grand rapids,mi081,us
137,137,325687672284786688,"All these ugly niggas picking boston, smd boi",orlando-fl095-us,28.5453713,-81.1609096,orlando,fl095,us
138,138,423090836453076992,@gentrychristine is your bf at Baylor now?!,waco-tx309-us,31.54632584,-97.11797268,waco,tx309,us
139,139,500380467334762496,http://t.co/7jCyiCoK0c,zonguldak-85-tr,40.850412,31.158322,zonguldak,85,tr
140,140,425385942720200704,@CharlieDaniels seems like you've been tweeting from Hawaii for 2 mo's - you ever coming back here to the south?,tampa-fl057-us,28.04873734,-82.62359676,tampa,fl057,us
141,141,388736122761003008,i want a drink of the alcoholic kind :/ !,norwich-engi9-gb,52.48437579999999,1.7522243000000002,norwich,engi9,gb
142,142,552934786256605184,@brianp1888 @sinkybiy_90 haha. Each to their own 😂😂😂,gloucester-enge6-gb,51.90277,-2.042579,gloucester,enge6,gb
143,143,507236585591832576,Ok ok my real #WCW... #Trini #Local #Personality #Gorgeous 😍😘 my Lizard !!! You can call her MT ! @… http://t.co/ltNrvo7SIa,mon repos-10-tt,10.67962,-61.522315,mon repos,10,tt
144,144,489326781930172416,@DjBigMikee gettin the most money in league what would of happens if we did make champions league..lucky we finished 7th,sutton coldfield-eng00-gb,52.53055153,-1.87579068,sutton coldfield,eng00,gb
145,145,348854927067582464,@LILBTHEBASEDGOD hey check out my modeling work http://t.co/w7Zhwgmen9,kissimmee-fl097-us,28.17912287,-81.28983267,kissimmee,fl097,us
146,146,663526696172261376,@morgan_eby @SORRYNOTSOORRY 😂😂,springfield-il167-us,39.59874212,-89.58274551,springfield,il167,us
147,147,498043065521946624,@Chesslive_en Follow @Fantasy_Chess today and be entered into our prize draw for a Levon Aronian Best games book and Judith Polgar poster,halifax-engc2-gb,53.710166,-1.955334,halifax,engc2,gb
148,148,546216777923850240,happy tart day axl dg andri!,manado-31-id,1.071488,124.488793,manado,31,id
149,149,498695078572212224,@boknowsbo88  Fr winning the bob was a bit of a stretch... Scripted like storage wars,regina-11-ca,50.450525,-104.618956,regina,11,ca
150,150,348823130355167232,"heyyy :p thank you :-)""@Ziyongchy: @diztaberis haah not you""",denpasar-02-id,-8.81520543,115.14749134,denpasar,02,id
151,151,385933375766138880,Good Morning. ;) ♫ Clarity (feat. Foxes) by Zedd — https://t.co/uxNZdm8yUS,batangas-4009-ph,13.94975,121.11835,batangas,4009,ph
152,152,542738437204230144,Time to reset my alarm ⏰ nighty!,quezon city-ncrf2-ph,14.665996,121.074466,quezon city,ncrf2,ph
153,153,415910292779175936,Fucking mal de ventre!,evry-a891-fr,48.43061008,2.17202285,evry,a891,fr
154,154,534748485254262784,Optimal self sufficiency,los angeles-ca037-us,33.981953999999995,-118.289773,los angeles,ca037,us
155,155,413652410956275712,@narrysogay sdv?,cacador-26-br,-26.99720049,-51.1616399,cacador,26,br
156,156,433266574489698304,Not bad ending a workday with this... http://t.co/bJFz0xxpl7,prague-52-cz,50.06304293,14.43226028,prague,52,cz
157,157,339252596575444992,@roochelleann she's gonna break up with you,abbotsford-02-ca,49.29594897,-122.7640385,abbotsford,02,ca
158,158,330381526195916800,Never let your fear decide your fate.,philadelphia-pa101-us,39.99430371,-75.23806597,philadelphia,pa101,us
159,159,498038053567746048,"""You skinny bitches can't keep up with these thunder thighs"" -Tess. #Amazing #AKLife #DrinkingProblems @Paterickjoe @mrmckenzie85",anchorage-ak020-us,61.216173,-149.8931,anchorage,ak020,us
160,160,492017113398116352,The purge makes rich white people look the the devil oh wait.... #theyare,wichita-ks173-us,37.684384,-97.289841,wichita,ks173,us
161,161,404253298716581888,Penalty for Emley on 20 mins Irving steps up 1-0,dewsbury-eng00-gb,53.68157355,-1.57792118,dewsbury,eng00,gb
162,162,472229293146116096,@OnePieceINA bagi id line min :D,purwokerto-07-id,-7.4129447,109.2417367,purwokerto,07,id
163,163,536544641651589120,Te Amoo &lt;3 [ L ] http://t.co/itu9tsx3Zh,san cristobal-33-do,18.422221,-70.069466,san cristobal,33,do
164,164,342560019260248064,Nempel bantal bbzz 😴😴 (at Narisa's Room) — http://t.co/PHphHveYrf,surabaya-08-id,-7.297936,112.77252,surabaya,08,id
165,165,397039762777059328,@Yago_Ys @nathipqsim natalia,sete lagoas-15-br,-19.94242565,-44.04649347,sete lagoas,15,br
166,166,398851680843751424,a.n.d i c.h.o.o.s.e y.o.u #okenight! (at daraa's room♛) — https://t.co/iEuTP6O47B,bekasi-30-id,-6.26549,107.02477,bekasi,30,id
167,167,543272967682412544,but that's not you,bridgeport-ct001-us,41.473249,-73.170839,bridgeport,ct001,us
168,168,394125782550732800,@JaredScotland18 @OfficialTBarB25 ill dm it to you. Tyler got it tho too,greenville-sc045-us,34.352034499999995,-82.9360653,greenville,sc045,us
169,169,420914630253228032,"""@LeMauricee: Y my voice so deep""you sound like a bumble bee when you whisper lolz",miami-fl086-us,25.4542574,-80.44393199999998,miami,fl086,us
170,170,394835479826137088,Why?,tasikmalaya-30-id,-7.26385,107.83314,tasikmalaya,30,id
171,171,525219785672777728,@maacis_ callate,sevilla-51se-es,37.3231,-5.935351,sevilla,51se,es
172,172,438166473534492672,"With Citra, mhymi, and Rahmah at Ayam Penyet Ria Ibu Ruth — https://t.co/r8JBdoXK4a",makassar-38-id,-5.14357,119.4752,makassar,38,id
173,173,426462230549262336,"@WillBurge   Willie B, awesome job, heard u this morning n give u big props for your hard work. #gettinpaidnow",mentor-oh085-us,41.52403114,-81.45452563,mentor,oh085,us
174,174,534750716582064128,It seems I am there...almost! #Humble 20 Things Successful People Refuse To Do http://t.co/uamVVS2MEY,dubai-03-ae,25.186977,55.279024,dubai,03,ae
175,175,489997342188109824,@cattierene I'm never cleaning throw up again!,birmingham-al073-us,33.139025,-86.916022,birmingham,al073,us
176,176,423641523230490624,"Houston 

#vscocam http://t.co/4gaKDgwoob",houston-tx201-us,29.7865578,-95.3875641,houston,tx201,us
177,177,435934701317287936,sleepy ya know,zurich-zh112-ch,47.37977604,8.51207323,zurich,zh112,ch
178,178,323486241456787456,Must be shit when your MASSIVE day is yet again overshadowed by your very successful neighbours. #soonbe20,oldham-engk1-gb,53.64151442,-2.10618023,oldham,engk1,gb
179,179,555990168965222400,"Dude, racism is stupid..
I am black.. White and Asian but everyone still Love me.,
Hahaa  #Shouttt @… http://t.co/EyNGDhPbMA",sukabumi-30-id,-6.6597490000000015,106.822519,sukabumi,30,id
